"date","PMFG_length"
"07/2001",50.6334823414273
"08/2001",50.7563876267717
"09/2001",38.2358987160667
"10/2001",47.9019335004615
"11/2001",45.9359757572667
"12/2001",41.4728618908836
"01/2002",49.3678183164855
"02/2002",50.130702096178
"03/2002",50.9707332388269
"04/2002",52.9114814019943
"05/2002",50.6650718194592
"06/2002",43.2723096790003
"07/2002",41.0355269419536
"08/2002",42.3954158453974
"09/2002",41.5662454308441
"10/2002",44.4684533586937
"11/2002",44.485921758508
"12/2002",51.3284862934657
"01/2003",44.6613852149016
"02/2003",47.2126335121349
"03/2003",39.1224670359227
"04/2003",43.9292850563244
"05/2003",46.285659627347
"06/2003",45.8216406699578
"07/2003",45.2915994411538
"08/2003",50.0826744587447
"09/2003",47.9891980479235
"10/2003",46.8850337152722
"11/2003",42.0576590787419
"12/2003",48.8575307694355
"01/2004",50.5512232470837
"02/2004",52.2234325072432
"03/2004",43.9394673278916
"04/2004",43.6224910828804
"05/2004",35.2540724685744
"06/2004",46.537062340194
"07/2004",50.5541204237776
"08/2004",45.0558768610196
"09/2004",50.218563093987
"10/2004",40.6815254060379
"11/2004",49.121083164509
"12/2004",50.6498080946859
"01/2005",52.4989302224405
"02/2005",51.9681033699202
"03/2005",49.5976464488858
"04/2005",40.0397546733986
"05/2005",50.1631569487332
"06/2005",49.2136357123846
"07/2005",52.986499731072
"08/2005",49.8434365227251
"09/2005",53.6532772280273
"10/2005",37.9882624459826
"11/2005",53.2812543519485
"12/2005",52.9474744743307
"01/2006",43.6182901400618
"02/2006",49.766379603083
"03/2006",50.0340809332167
"04/2006",48.5432630245464
"05/2006",33.1259120134988
"06/2006",32.6676762298649
"07/2006",32.771241325919
"08/2006",48.1398126177892
"09/2006",40.4442897934754
"10/2006",46.9491422597871
"11/2006",45.8766905046737
"12/2006",45.3023579174029
"01/2007",45.0285400937628
"02/2007",31.6817970346537
"03/2007",30.2754190565979
"04/2007",39.5290371081937
"05/2007",47.6236410139852
"06/2007",38.4595735014407
"07/2007",33.6195851197699
"08/2007",27.8372792733944
"09/2007",36.0310336864467
"10/2007",40.15389442663
"11/2007",38.1016254162047
"12/2007",36.7188138369985
"01/2008",34.7319979459757
"02/2008",35.8255596360408
"03/2008",34.7248567719661
"04/2008",42.582701054963
"05/2008",46.9153097955084
"06/2008",43.4055016935937
"07/2008",41.5154421745049
"08/2008",43.2548418625209
"09/2008",28.1444811551783
"10/2008",31.8336040385666
"11/2008",33.5316195857524
"12/2008",37.4600754612882
"01/2009",36.0443709272743
"02/2009",36.9585982158838
"03/2009",32.1725900189408
"04/2009",37.5954670077966
"05/2009",39.6568452824599
"06/2009",34.9748883869915
"07/2009",36.1170478352038
"08/2009",35.5881288080832
"09/2009",39.5318054041486
"10/2009",34.9201594082819
"11/2009",35.6865989984949
"12/2009",41.6636718526517
"01/2010",39.4742033673146
"02/2010",34.6768097534116
"03/2010",43.7829156109884
"04/2010",35.581074307968
"05/2010",30.0037776479813
"06/2010",31.3107943138908
"07/2010",38.8979647420825
"08/2010",35.66730247919
"09/2010",37.4058060364162
"10/2010",43.998507075703
"11/2010",37.3594061196521
"12/2010",44.1104884604871
"01/2011",48.4172789596884
"02/2011",43.6339668427989
"03/2011",36.9433643460144
"04/2011",35.887597003371
"05/2011",41.5274253652003
"06/2011",38.9947656780651
"07/2011",37.7002206779337
"08/2011",29.1791051864795
"09/2011",30.9761142251121
"10/2011",31.3546394339932
"11/2011",30.5268626971346
"12/2011",37.8325475982706
"01/2012",45.5563111608228
"02/2012",44.7381650664967
"03/2012",35.9977113776133
"04/2012",40.9210778433751
"05/2012",41.2490505556011
"06/2012",35.9904263387035
"07/2012",35.3071067599816
"08/2012",44.7204903481348
"09/2012",36.1662319767666
"10/2012",41.9988584605702
"11/2012",46.3727767025172
"12/2012",55.218536913083
"01/2013",50.4199306429332
"02/2013",42.2692899954842
"03/2013",46.0044049182374
"04/2013",43.0192177483922
"05/2013",49.9084125114092
"06/2013",36.8878827413492
"07/2013",45.6423294928091
"08/2013",43.5644861225318
"09/2013",44.7140954577693
"10/2013",48.7824367742649
"11/2013",49.2728878404947
"12/2013",44.1120535851204
"01/2014",42.4802505348397
"02/2014",43.1101279057545
"03/2014",40.4994832578574
"04/2014",47.1135425104417
"05/2014",57.3398361870489
"06/2014",54.4123020450694
"07/2014",50.7577383037204
"08/2014",46.2570075523481
"09/2014",52.4616238425564
"10/2014",40.2774929153051
"11/2014",51.9929221500566
"12/2014",40.1061714141462
"01/2015",40.9760068524838
"02/2015",56.3401271012952
"03/2015",47.2195789020414
"04/2015",47.8581933106984
"05/2015",52.6661160188595
"06/2015",40.1386631109416
"07/2015",39.5072591359678
"08/2015",29.0266643370318
"09/2015",35.38521507452
"10/2015",39.7938473008092
"11/2015",44.4316216952293
"12/2015",38.2114639643528
"01/2016",32.9618126875762
"02/2016",37.7705855075064
"03/2016",42.3451563749497
"04/2016",41.9283532850334
"05/2016",44.346452874261
"06/2016",29.4996692220696
"07/2016",44.2420621981253
"08/2016",47.2657497730352
"09/2016",37.5781978643951
"10/2016",48.3584576544556
"11/2016",40.5515862821121
"12/2016",49.1025653072899
"01/2017",48.0178645463944
"02/2017",48.93663780368
"03/2017",43.6286525663339
"04/2017",46.5346565837556
"05/2017",45.4264366670257
"06/2017",50.923276688986
"07/2017",49.5104744657205
"08/2017",43.7949909248494
"09/2017",49.8391995518763
"10/2017",59.971645295397
"11/2017",50.5567343083646
"12/2017",50.2045357030003
"01/2018",48.4426862821316
"02/2018",35.0386709724205
"03/2018",40.097067801618
"04/2018",42.3918509373713
"05/2018",51.4287631247551
"06/2018",47.6266427465595
"07/2018",49.7893491509482
"08/2018",44.5048916737218
"09/2018",48.6666652589603
"10/2018",38.2441099841992
"11/2018",45.5750282322074
"12/2018",39.0928895523857
"01/2019",44.2559574910873
"02/2019",47.5522855827306
"03/2019",43.3916875458833
"04/2019",55.2079944736432
"05/2019",45.7634729663572
"06/2019",46.4579604340587
"07/2019",53.8882326974979
"08/2019",35.846103922713
"09/2019",48.5381738458192
